note,type,num,fing
A,6/9sus,7,5224x2
A,6b5sus,1,x04242
A,6b5sus,2,xx7875
A,6b5sus,3,x012x2
A,7b5sus,1,x01043
A,7b5sus,2,565885
A,7b5sus,3,xx7885
A,7b5sus,4,x0x243
A,9b5sus,1,x01000
A,9b5sus,2,x01203
A,9b5sus,3,x02443
A,9b5sus,4,x01403
A,9b5sus,5,522243
A,9b5sus,6,565x57
A,9b5sus,7,xx7887
A,9b5sus,8,565857
A,9b5sus,9,575857
A,9#5sus,1,x03001
A,9#5sus,2,x03203
A,9#5sus,3,x03403
A#,maj,1,687766
A#,maj,2,x10231
A#,maj,3,653335
A#,maj,4,xx8765
A#,maj7,1,687766
A#,maj7,2,x10231
A#,maj7,3,653335
A#,maj7,4,xx8765
A#,7,1,686766
A#,7,2,x13131
A#,7,3,x10134
A#,7,4,653334
A#,7,5,x10334
A#,7,6,x101x1
A#,6,1,x10031
A#,6,2,653333
A#,6,3,x13033
A#,6,4,x10333
A#,6,5,65576x
A#,maj9,1,657565
A#,maj9,2,633335
A#,maj9,3,x10211
A#,maj9,4,633535
A#,9,1,686768
A#,9,2,633334
A#,9,3,x10111
A#,9,4,633534
A#,9,5,x10314
A#,9,6,636334
A#,13,1,666786
A#,13,2,x11133
A#,13,3,x10044
A#,13,4,x10014
A#,13,5,636333
A#,13,6,x10113
A#,13,7,635334
A#,13,8,666333
A#,maj13,1,667766
A#,maj13,2,x11231
A#,maj13,3,x10241
A#,maj13,4,655865
A#,maj13,5,663335
A#,aug,1,x10332
A#,aug,2,xx8776
A#,7#5,1,x10132
A#,7#5,2,6x6776
A#,7#5,3,696796
A#,maj7#5,1,x10232
A#,maj7#5,2,xx8775
A#,aug,61,x10032
A#,aug,62,654333
A#,aug,63,x14033
A#,aug,64,65577x
A#,6/9,1,x10011
A#,6/9,2,655566
A#,6/9,3,633333
A#,6/9,4,633533
A#,6/9,5,635333
A#,6/9,6,x10313
A#,11,1,666766
A#,11,2,x11131
A#,11,3,x10141
A#,11,4,663334
A#,11,5,666798
A#,11,6,x10344
A#,11,7,x10144
A#,11,8,xx8891
A#,11,9,668796
A#,6/11,1,668766
A#,6/11,2,x10041
A#,6/11,3,663333
A#,6/11,4,x11331
A#,6/11,5,x11031
A#,6/11,6,663533
A#,6/11,7,653343
A#,6/9b5,1,655556
A#,6/9b5,2,x10010
A#,6/9b5,3,655758
A#,9b5,1,x10110
A#,9b5,2,656556
A#,maj9b5,1,657555
A#,maj9b5,2,x10210
A#,13b5,1,x10110
A#,13b5,2,x12113
A#,13b5,3,656556
A#,13b5,4,676786
A#,13b5,5,676886
A#,13b5,6,666986
A#,13b5,7,x12130
A#,13b5,8,x11130
A#,13b5,9,xx8998
A#,6/11b5,1,668968
A#,6/11b5,2,668968
A#,9/11,1,666766
A#,9/11,2,x11131
A#,9/11,3,x10141
A#,9/11,4,663334
A#,9/11,5,666798
A#,9/11,6,x10344
A#,9/11,7,x10144
A#,9/11,8,xx8891
A#,9/11,9,668796
A#,9/13,1,666786
A#,9/13,2,x11133
A#,9/13,3,x10044
A#,9/13,4,x10014
A#,9/13,5,636333
A#,9/13,6,x10113
A#,9/13,7,635334
A#,9/13,8,666333
A#,9/13b5,1,x10110
A#,9/13b5,2,x12113
A#,9/13b5,3,656556
A#,9/13b5,4,676786
A#,9/13b5,5,676886
A#,9/13b5,6,666986
A#,9/13b5,7,x12130
A#,9/13b5,8,x11130
A#,9/13b5,9,xx8998
A#,9/13#5,1,x14034
A#,11/13,1,666786
A#,11/13,2,x11133
A#,11/13,3,x10044
A#,11/13,4,x10014
A#,11/13,5,636333
A#,11/13,6,x10113
A#,11/13,7,635334
A#,11/13,8,666333
A#,6b5,1,x13030
A#,6b5,2,655756
A#,6b5,3,x12031
A#,6b5,4,653353
A#,6b5,5,x12033
A#,6b5,6,xx8981
A#,7b5,1,x10130
A#,7b5,2,676796
A#,7b5,3,x12134
A#,7b5,4,65675x
A#,7b5,5,xx8991
A#,maj7b5,1,x10230
A#,maj7b5,2,657755
A#,(b5),1,x10330
A#,(b5),2,xx8756
A#,aug/69,1,x10012
A#,aug/69,2,655576
A#,aug/69,3,634333
A#,aug/69,4,634533
A#,9#5,1,x10112
A#,9#5,2,634334
A#,9#5,3,65657x
A#,m,1,688666
A#,m,2,x13321
A#,m7,1,686666
A#,m7,2,x13121
A#,m7,3,686699
A#,m7,4,688696
A#,m6,1,688686
A#,m6,2,x13023
A#,m6,3,643363
A#,m6,4,x1x021
A#,m9,1,686668
A#,dim,1,x12320
A#,dim,2,6786x6
A#,dim,3,xx8656
A#,dim7,1,x12020
A#,dim7,2,678686
A#,dim7,3,xx8989
A#,dim7,4,67565x
A#,m6#5,1,x14022
A#,m6#5,2,698686
A#,m7#5,1,696676
A#,m7#5,2,644674
A#,m7#5,3,696699
A#,m7#5,4,698696
A#,m7#5,5,x1x122
A#,m11,1,666666
A#,m11,2,x11121
A#,m11,3,646544
A#,m11,4,666869
A#,m11,5,666698
A#,m11,6,xx8899
A#,m11#5,1,644544
A#,m11#5,2,666678
A#,m11#5,3,x11112
A#,m11#5,4,666878
A#,dim6,1,x12020
A#,dim6,2,678686
A#,dim6,3,xx8989
A#,dim6,4,67565x
A#,dim9,1,67x688
A#,m13,1,666686
A#,m13,2,x11123
A#,m13,3,645544
A#,m13,4,645644
A#,m13,5,686688
A#,m13,6,x11024
A#,m13,7,x13024
A#,m13#5,1,696688
A#,m6/9,1,633663
A#,m6/11,1,668686
A#,m6/11,2,x11021
A#,m6/11,3,643343
A#,m6/11,4,66x688
A#,m6/11,5,x11323
A#,m6/11,6,633643
A#,m6/11,7,xx8889
A#,m9#5,1,644574
A#,m9#5,2,6x6678
A#,m9#5,3,696678
A#,m9#5,4,696698
A#,m11/13,1,666686
A#,m11/13,2,x11123
A#,m11/13,3,645544
A#,m11/13,4,645644
A#,m11/13,5,686688
A#,m11/13,6,x11024
A#,m11/13,7,x13024
A#,m9/11,1,666666
A#,m9/11,2,x11121
A#,m9/11,3,646544
A#,m9/11,4,666869
A#,m9/11,5,666698
A#,m9/11,6,xx8899
A#,m9/13,1,666686
A#,m9/13,2,x11123
A#,m9/13,3,645544
A#,m9/13,4,645644
A#,m9/13,5,686688
A#,m9/13,6,x11024
A#,m9/13,7,x13024
A#,dim11,1,x11020
A#,dim13,1,x11020
A#,dim6/9,1,67x688
A#,9sus,1,x13111
A#,9sus,2,686x68
A#,9sus,3,633364
A#,11sus,1,666866
A#,11sus,2,68686x
A#,11sus,3,686896
A#,11sus,4,x11141
A#,11sus,5,668896
A#,6/9sus,1,633363
A#,6/9sus,2,x13013
A#,6/9sus,3,x1x011
A#,6b5sus,1,xx8986
A#,6b5sus,2,x120x0
A#,6b5sus,3,xxx353
A#,7b5sus,1,676996
A#,7b5sus,2,xx8996
A#,7b5sus,3,x121x0
A#,9b5sus,1,x12111
A#,9b5sus,2,x13110
A#,9b5sus,3,633354
A#,9b5sus,4,676x68
A#,9b5sus,5,676968
A#,9b5sus,6,686968
A#,9#5sus,1,x14112
B,maj,1,798877
B,maj,2,x21302
B,maj,3,x24342
B,maj,4,764446
B,maj,5,xx9876
B,maj7,1,798877
B,maj7,2,x21302
B,maj7,3,x24342
B,maj7,4,764446
B,maj7,5,xx9876
B,7,1,797877
B,7,2,x24242
B,7,3,x21202
